method;variation;dataset;target;horizon;tau;coverage;mean_IS;WIS_58;WIS_all;frequency;best WIS_58;best WIS_all;best cov_0.5;best cov_0.8;abs_cov_dev;cov_group_norm;WIS_all_group_norm
ald_quantiles_prediction;;AR(1);gdp;0.5;0.4;0.27381;2.116934;0.39058;0.52311;annually;0.39041;0.52186;0.488095;0.797619;0.12619;0.71830486;0.002906639
ald_quantiles_prediction;;AR(1);gdp;0.5;0.5;0.404762;2.365154;0.39058;0.52311;annually;0.39041;0.52186;0.488095;0.797619;0.095238;0.5;0.002906639
ald_quantiles_prediction;;AR(1);gdp;0.5;0.6;0.5;2.689224;0.39058;0.52311;annually;0.39041;0.52186;0.488095;0.797619;0.1;0.661016828;0.002906639
ald_quantiles_prediction;;AR(1);gdp;0.5;0.7;0.630952;3.131642;0.39058;0.52311;annually;0.39041;0.52186;0.488095;0.797619;0.069048;0.3333352;0.002906639
ald_quantiles_prediction;;AR(1);gdp;0.5;0.8;0.75;3.851704;0.39058;0.52311;annually;0.39041;0.52186;0.488095;0.797619;0.05;0.210526548;0.002906639
ald_quantiles_prediction;;AR(1);gdp;0.5;0.9;0.821429;5.310252;0.39058;0.52311;annually;0.39041;0.52186;0.488095;0.797619;0.078571;0.294113578;0.002906639
ald_quantiles_prediction;;AR(1);gdp;1;0.1;0.047619;3.040551;0.76821;1.02031;annually;0.64196;0.77595;0.5;0.797619;0.052381;0.459771558;0.342629594
ald_quantiles_prediction;;AR(1);gdp;1;0.2;0.142857;3.360077;0.76821;1.02031;annually;0.64196;0.77595;0.5;0.797619;0.057143;0.418183762;0.342629594
ald_quantiles_prediction;;AR(1);gdp;1;0.3;0.202381;3.729438;0.76821;1.02031;annually;0.64196;0.77595;0.5;0.797619;0.097619;0.610687904;0.342629594
ald_quantiles_prediction;;AR(1);gdp;1;0.4;0.27381;4.144339;0.76821;1.02031;annually;0.64196;0.77595;0.5;0.797619;0.12619;0.588232097;0.342629594
ald_quantiles_prediction;;AR(1);gdp;1;0.5;0.357143;4.650257;0.76821;1.02031;annually;0.64196;0.77595;0.5;0.797619;0.142857;0.521737701;0.342629594
ald_quantiles_prediction;;AR(1);gdp;1;0.6;0.428571;5.2593;0.76821;1.02031;annually;0.64196;0.77595;0.5;0.797619;0.171429;0.541667542;0.342629594
ald_quantiles_prediction;;AR(1);gdp;1;0.7;0.571429;6.13228;0.76821;1.02031;annually;0.64196;0.77595;0.5;0.797619;0.128571;0.359430116;0.342629594
ald_quantiles_prediction;;AR(1);gdp;1;0.8;0.678571;7.579485;0.76821;1.02031;annually;0.64196;0.77595;0.5;0.797619;0.121429;0.344828785;0.342629594
ald_quantiles_prediction;;AR(1);gdp;1;0.9;0.797619;10.797418;0.76821;1.02031;annually;0.64196;0.77595;0.5;0.797619;0.102381;0.245283318;0.342629594
ald_quantiles_prediction;;AR(1);gdp;1.5;0.1;0.130952;3.581278;0.96743;1.25169;annually;0.93596;1.2327;0.5;0.791667;0.030952;0.166658889;0.007842635
ald_quantiles_prediction;;AR(1);gdp;1.5;0.2;0.178571;3.982395;0.96743;1.25169;annually;0.93596;1.2327;0.5;0.791667;0.021429;0.108917314;0.007842635
ald_quantiles_prediction;;AR(1);gdp;1.5;0.3;0.25;4.441598;0.96743;1.25169;annually;0.93596;1.2327;0.5;0.791667;0.05;0.03225872;0.007842635
ald_quantiles_prediction;;AR(1);gdp;1.5;0.4;0.369048;4.989872;0.96743;1.25169;annually;0.93596;1.2327;0.5;0.791667;0.030952;0.059403017;0.007842635
ald_quantiles_prediction;;AR(1);gdp;1.5;0.5;0.428571;5.656453;0.96743;1.25169;annually;0.93596;1.2327;0.5;0.791667;0.071429;0.240001478;0.007842635
ald_quantiles_prediction;;AR(1);gdp;1.5;0.6;0.535714;6.571386;0.96743;1.25169;annually;0.93596;1.2327;0.5;0.791667;0.064286;0.178572179;0.007842635
ald_quantiles_prediction;;AR(1);gdp;1.5;0.7;0.630952;7.877242;0.96743;1.25169;annually;0.93596;1.2327;0.5;0.791667;0.069048;0.195805284;0.007842635
ald_quantiles_prediction;;AR(1);gdp;1.5;0.8;0.714286;10.044732;0.96743;1.25169;annually;0.93596;1.2327;0.5;0.791667;0.085714;0.228070124;0.007842635
ald_quantiles_prediction;;AR(1);gdp;1.5;0.9;0.797619;14.411688;0.96743;1.25169;annually;0.93596;1.2327;0.5;0.791667;0.102381;0.214286571;0.007842635
